,Unnamed: 0,Unnamed: 0.1,product.product_brand_page_click_to_cart_rate,product.product_brand_page_impression_to_click_rate,product.product_click_to_cart_rate_4w,product.product_impression_to_click_rate_4w,product.product_is_high_sell_through,product.product_num_cart_adds_4w,product.product_num_clicks_4w,product.product_num_impressions_4w,product.product_num_search_excess_cart_adds_4w,product.product_num_search_excess_clicks_4w,product.product_num_search_impressions_4w,retailerbrand.retailer_brand_days_since_last_cart_item_added,retailerbrand.retailer_brand_days_since_last_favorite,retailerbrand.retailer_brand_days_since_last_order,retailerbrand.retailer_brand_days_since_last_visit,retailerbrand.retailer_brand_empirical_visit_rate,retailerbrand.retailer_brand_filter_first_order_minimum_dot_product,retailerbrand.retailer_brand_filter_maker_values_cosine_similarity,retailerbrand.retailer_brand_filter_maker_values_dot_product,retailerbrand.retailer_brand_filter_reorder_minimum_dot_product,retailerbrand.retailer_brand_lightfm_cosine_similarity,retailerbrand.retailer_brand_num_brand_impressions_12w,retailerbrand.retailer_brand_num_brand_impressions_1w,retailerbrand.retailer_brand_num_brand_impressions_4w,retailerbrand.retailer_brand_num_brand_orders_12w,retailerbrand.retailer_brand_num_brand_orders_1w,retailerbrand.retailer_brand_num_brand_orders_4w,retailerbrand.retailer_brand_num_brand_visits_12w,retailerbrand.retailer_brand_num_brand_visits_1w,retailerbrand.retailer_brand_num_brand_visits_4w,retailerbrand.retailer_brand_num_products_added_to_cart_12w,retailerbrand.retailer_brand_num_products_added_to_cart_1w,retailerbrand.retailer_brand_num_products_added_to_cart_4w,retailerbrand.retailer_last_added_brands_brand_lightfm_cosine_similarity,retailerbrand.retailer_last_ordered_brands_brand_lightfm_cosine_similarity,retailerbrand.retailer_last_visited_brands_brand_lightfm_cosine_similarity,rand,title,description,has_product_click,created_at_a,query_text,filter_string,page_number,page_size,position,retailer_token_anon,request_id_anon
10,23985,23985,1.1092,0.0099,,,0.0,,,139.0,-0.2945,0.4228,134.0,,,,,,0.0,0.6000000133113202,0.0383999990299344,0.0,0.3196409824691916,,,,,,,,,,,,,0.99970485683443,0.999718083091544,0.9998363438943922,45,Cowboy Boot Flat Note Stationery Set,"Luxurious heavyweight stock. 70lb recycled envelopes. Made with love in Nashville, Tennessee. 8 ct. Stationery set A2 : 4.25"" x 5.5"".",0,2020-05-31 01:31:11.704,western,,6.0,50,318.0,327,1420
11,18732,18732,0.7879,0.0544,,0.0592,0.0,,,828.0,3.0061,19.2679,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,,79,Handmade Cotton Face Masks- Aquatic Assortment,"The masks are made with 100% cotton outer fabric shell and are lined in soft, 100% cotton flannel. Nose bridge wire ensures a more custom fit. These masks are shaped to fit an average adult size face, from nose to under the chin. Also available in Big Kid and Little Kid sizes. Child sizes do not include nose wire to comply with CPSIA regulations.

Assortment may include waves, ocean life, mermaids, etc.",0,2020-05-31 20:45:12.601,kids masks,,2.0,48,139.0,335,690
12,49906,49906,0.5196,0.0177,,,0.0,,,63.0,-0.0327,-0.1614,18.0,,,,,,0.0,0.3162277621145805,0.016666667535901,0.0,0.315022679070269,,,,,,,,,,,,,0.9998049962027674,0.9996887168886304,0.9997776967601316,74,Namaste B*tches Zipper Bag,"Zipper pouches are the perfect way to keep your everyday essential items together and organized in your purse.
Size: Approx. 7 3/4"" W x 4 1/2"" H.
Single-Sided Full-Color Printing.
 Heat applied image allows for a vibrant and durable design.
 Gold Metal Zipper with gold tone plastic zipper teeth.
 12oz natural cotton canvas.
Comes with colored suede tassel (2.28 inches) and a metal D ring.
 Printed in sunny San Diego, USA!
Colors of tassels vary for each bag.",0,2020-05-31 02:30:39.677,namaste,,2.0,24,50.0,32,262
13,24348,24348,0.3961,0.001,,,0.0,,,50.0,-0.0833,-0.4338,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,23,Tabby Cat Blank Greeting Card Creepy Cute Oddities Curiosity,"Card is 5 x 7 inches, envelope is 5.125 x 7.125 inches, 11 mil thickness.
Great to receive with gifts or a simple ""Thank you"".
* 11 mil Thickness
* Printed on white 60lb. acid free high gloss card stock with a smooth surface on the inside for writing. 
* Printed with Canon Archival Inks which are archival up to 200 years
* Thanks to its brilliant white tone, color on these cards pop and blacks are rich and deep.
* Packaged in a clear acid free bag.",0,2020-05-31 15:30:19.623,pop up cards,,1.0,48,52.0,701,385
14,33733,33733,0.2716,0.0105,,,0.0,,,238.0,-0.2491,-1.3479,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,50,Light Pink Purse Insert Organizer - All Purpose Organizer,"All purpose organizer. Easily find, store & organize lingerie, make-up, toiletries, etc.
3 main sections, 2 zipper compartments, 4 expandable pockets, multiple mesh pockets, and tuck-away handles.
Lightweight easy-to-clean organizer bag folds up neatly for easy storage.
Ideal for travel.
Organizes for Women & Men: , car glove compartment, medicine cabinet.
Convenient shape and portable design.
Easy wipe-off for instant cleaning.

",0,2020-05-31 19:39:34.265,purse,,1.0,24,46.0,207,1226
15,15066,15066,0.1384,0.0261,,0.026,0.0,,,423.0,-1.1663,-0.8276,323.0,,,,,,0.0,,0.0,0.0,0.2546440106813688,,,,,,,,,,,,,0.998632032563443,0.9987503980503524,0.9989724224445848,37,Frances Maxi Dress - Ditsy Floral,"A V-neck style maxi dress with gathered drawstring detail at shoulder. 
A flattering empire cut with gathered skirt and pockets at both sides.
Made off 100% cotton fabric.
Crinkled lightweight floral print.",0,2020-05-31 15:31:54.704,maxi dress,,0.0,24,0.0,674,942
16,1141,1141,1.1016,0.0124,,,0.0,,,107.0,-0.3775,-0.8887,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,52,Beaver Vinyl Sticker,"Single vinyl sticker packaged in a clear protective sleeve. Our stickers are thick, durable, waterproof, weatherproof and dishwasher safe! They are versatile and long-lasting enough to stick on a laptop, tablet, phone, locker, notebook, travel mug, thermos, water bottle, bike, car and more. What fun!                    
Size: Approx 2-7/8"" x 2-1/5""
",0,2020-05-31 18:24:49.052,vinyl stickers,,0.0,48,3.0,142,265
17,43407,43407,0.2532,0.0167,,,0.0,,,171.0,-0.2623,-0.3948,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,67,Herbs Tea Towel,"This is a flour sack towel, a fabric which has been used for generations, and it is light, 100% cotton and dries quickly.

The towel measures 19"" x 33"" and due to the nature of the fabric is not always straight down the edge.

It’s better for the tea towel and the environment to wash in phosphate free detergent.",0,2020-05-31 22:43:54.846,tea towel,,1.0,48,96.0,289,652
18,7081,7081,0.4144,0.0235,,0.0236,0.0,,,677.0,-0.2583,0.5907,140.0,,,,,,0.0,0.4999999956926338,0.0384615398943424,0.0,0.4233736988340242,,,,,,,,,,,,,0.9996892703168228,,0.9996123098896852,72,Garden Maker | Farmer's Market,"Organic Culinary Vegetable Garden {rouge d'hiver lettuce, french breakfast radish, chantenay carrot, marmande tomato, bunching onion, mammoth melting snow pea, edible flower nasturtium, and haricot vert maxibel bean} A classic collection of organic culinary vegetables to grow in containers or garden space. Chosen for their ease in growing as well as their culinary versatility and ornamental value. Includes: 8 varieties of organic seed, recycled US steel case, garden stakes, pencil, directions.",0,2020-05-31 00:44:22.477,vegetable gardens,,0.0,48,1.0,326,1179
19,35598,35598,0.9224,0.0095,,,0.0,,,93.0,-0.0911,1.5251,41.0,,,,,,0.0,,0.0,0.0,0.3987351395444592,,,,,,,,,,,,,0.9999086242379892,0.9997564441241488,0.9999202839259468,17,Unicorn Headband,"Our unicorn headband is magical, shiny, and so easy to wear. Pair with a coordinating adventure cape and pom-pom wand for hours of dress-up fun! Fun for birthday parties, too. Adorned with tulle or fluffy iridescent boa on a bright fabric-covered headband. We guarantee no unicorns were harmed in the making. Will fit unicorns ages 3 and up.",1,2020-05-31 03:51:02.14,unicorn headand,,0.0,48,6.0,462,102
20,51365,51365,0.6106,0.0119,,,0.0,,,240.0,-0.3983,2.0522,153.0,,47.0,,25.0,0.0159,0.0089887641370296,0.7790275030987082,0.4518201230093837,0.0089887641370296,0.176227497169937,251.0,35.0,140.0,,,,4.0,0.0,1.0,,,,0.999735709418201,,0.9995038109699462,3,Farm Country Graphic Shirt- Cow w/ Orange Polka Dot Bandana,"Features: 
Sideseamed, relaxed unisex fit. 

Fabrication: 
52/48 cotton/poly

How we love to wear it: 
This T-shirt and tank is super cute to pair with your favorite shorts jeans and ready to go!

What a perfect layering tee to go under any flannel, sweater, cardigan or even alone! 
Just pair these with your favorite skinny jeans, leggings, or shorts and you've got a perfect outfit!  



",0,2020-05-31 14:09:25.144,denim jeans,"[""maker_value:made_in_usa"",""maker_value:not_sold_on_amazon"",""maker_value:women_owned""]",0.0,24,0.0,638,462
21,35843,35843,0.2303,0.0065,,,0.0,,,26.0,-0.0277,-0.1515,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,30,Woodland Adventure Tent Art Print,"This floral art print makes the perfect camping themed kid's room decor, girl's nursery art or playroom print! Featuring a pink tent illustration with a botanical border, it is great for baby boutiques and children's gift stores.

* Digitally printed on 100% cotton archival matte fine art paper
* Prints are unframed
* Professionally packaged in a protective cello sleeve with rigid chipboard backing
* Made in the USA! Designed, printed, and packaged in Portland, Oregon",0,2020-05-31 02:07:48.677,girl room,,0.0,50,42.0,50,925
22,33853,33853,1.873,0.0115,,,0.0,,,116.0,-0.0828,-0.4322,37.0,,,,,,0.0,,0.0,0.0,0.3532256545581402,,,,,,,,,,,,,0.9997967701912264,0.9998645653154576,0.9997905823721668,81,4oz Coffee Bean Candle,"This coffee bean candle is crafted with roasted coffee beans on top. As the candle burns & the wax melts, the coffee beans float atop enriching this delicious fresh brewed coffee aroma. All wicks are cotton, lead-free & the burn time is approximately 15 hours. Size: 2"" x 2"" x 2"". Weight: 4oz.
",0,2020-05-31 16:25:10.669,kuhdoo,,0.0,50,41.0,79,455
23,37881,37881,1.3224,0.0203,,0.0056,0.0,,,1258.0,-3.2022,-10.1497,1727.0,,,,,,,,,,,,,,,,,,,,,,,,,,59,Uncrossing Candle,"A black midnight candle with a cleansing woodsy scent. 2 x 4 pillar burns for 40 hours. Remove the negative influences of others and your own self-defeating thoughts. Basically get out of your own way to allow all the good things to happen! Write your name on a piece of paper and place it under the candleholder. Before lighting the candle pass it over your head body and under your feet. Whisper your name and your troubles to the candle. Light it and burn it everyday until it is done.

",0,2020-05-31 17:58:32.80,candles,,0.0,50,49.0,242,219
24,26586,26586,0.4937,0.0255,,,0.0,,,365.0,-0.4558,-0.3841,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,45,FACE MASK - RENEE RED/GREEN,"Printed watercolor art by Renée Rubach on masks. I wanted to help in some way in these difficult times.  I am donating a portion of the net proceeds of these masks to https://www.directrelief.org/
*    Washable Lightweight Fitted Stretch Face Cover/Mask
*    Design: One-Sided (Front-Outside)
*    Size: One size fits most 13.25W x 5.25H
*    Care: Machine Wash Gentle Cycle + Dry Low Heat. Do Not Iron

Not considered true PPE. It will not be as effective as using a medical-grade, disposable mask.",0,2020-05-31 11:38:38.004,face mask,,8.0,48,404.0,5,1133
25,11201,11201,0.0535,0.1261,,0.0189,0.0,,,2113.0,-2.8836,-8.799900000000003,3170.0,,,,,,,,,,,,,,,,,,,,,,,,,,52,Face Mask - Ace - Indigo Denim,"Perfect for quick errands, the Ace combines our premium full-coverage mask with elastic loops to slip behind your ears. Two layers of high-density cotton provide the best protection while minimizing heat-trapping. The generously cut design gives any face shape full coverage without gaps. Embedded copper nose band bends for a snug, custom fit (and reduces eyewear fogging). Built-in pocket lets you add your own filter for additional protection.",0,2020-05-31 18:36:34.271,face masks with filter,,0.0,48,35.0,183,844
26,26529,26529,0.1259,0.0221,,,0.0,,,145.0,-0.0109,-0.0661,7.0,16.0,,16.0,16.0,,0.0,0.4082482925322101,0.0961538478732109,0.0,0.3179903635111143,,,,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.9999292203281882,0.999848386679967,0.999885653849814,39,Sol Crop Top,"The sol crop top is the perfect vintage inspired top. This crop top has a mustard colored floral print in a super lightweight fabric for those hot summer days. It has an elasticated neckline and waist with a faux tie. Get ready for sunny days with this playful top.

Made in China.
Hand wash cold, lay flat to dry or dry clean only.
100% polyester.
Model is 5 ft 8 inches; bust: 34"", waist: 27"", hips: 36"".
Model is wearing a size s.
Runs true to size.",0,2020-05-31 12:53:08.234,lost and wander,,0.0,48,47.0,650,1315
27,3825,3825,0.4381,0.016,,,0.0,,,138.0,-0.243,-0.2635,130.0,,,,,,0.0,0.0,0.0,0.0,0.2887225599295308,,,,,,,,,,,,,0.9995342984010064,0.9989648564174513,0.9995008409427812,90,Vine Waste Bag Holder ,"This canvas vine waste bag holder is made from a classic Rifle Paper Co fabric! 
Brass zipper for easy open and close.
Holds one standard waste bag roll.
Brass ring on back for quick release of bags.
Brass lobster clip to attach to leash or on you.",0,2020-05-31 04:58:22.733,rifle paper co,,0.0,48,28.0,622,267
28,19234,19234,0.4069,0.0473,,0.0839,0.0,,,763.0,-0.3966,-2.0375,178.0,,,,,,0.0,,0.0,0.0,0.3559154310154299,,,,,,,,,,,,,0.9999337037008932,0.9999337037008932,0.9997085878236128,39,Floral Headband,"THIS HEADBAND IS PACKAGE-FREE. ALL PACKAGE-FREE STYLES ARE FINAL SALE. 

Floral Print Headband is a 'one size fits most'. This plush headband is adjustable with a velcro close. Perfect to pull your hair back and erase your makeup!",0,2020-05-31 19:31:44.165,makeup eraser,,0.0,50,17.0,70,638
29,6988,6988,0.176,0.0258,,0.0249,0.0,,,682.0,-1.5617,-1.8626,413.0,,,,,,,,,,,,,,,,,,,,,,,,,,80,8oz Tumbler Mixed 12 Pack,"12 x 8oz SoL Cups tumblers included in this pack:

Yummy Yellow
White Wave
Seaside Slate
Rocket Red
Radiant Rose
Perfect Pink
Blue Stone
Basalt Black
Winter Bondi Blue
Deep Sea Green
Cool Grey
Cool Cyan
-

SoL Cups tumblers are ethically produced using sustainable materials and are completely plastic free as well as incredibly light making them the perfect on-the-go cup.

Features Include:

-Light weight and crystal clear
-Hand blown using Borosilicate glass
-Dishwasher & Microwave safe",0,2020-05-31 14:12:27.877,tumbler,,1.0,24,28.0,137,48
30,770,770,0.2689,0.0102,,,0.0,,,108.0,-0.0994,-0.5287,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,40,Candy Cane Classic Balloons,"Our best selling Classic Balloon Packs include high quality, 100% biodegradable balloons and each confetti balloon is hand-filled with our artisan confetti. Packaged with pep in our PA, USA studio. 

• 12 balloons (9 solid colored balloons + 3 pre-filled confetti balloons)

• 11"" diameter, sourced from North America

• Packaged in a 3 5/8 x 5/8 x 5 5/8” clear box
",0,2020-05-31 14:40:38.358,biodegradable,,3.0,24,90.0,172,240
31,36034,36034,0.2403,0.0093,,,0.0,,,212.0,-0.1452,-0.7703,68.0,5.0,10.0,6.0,5.0,,0.0,0.0,0.0,0.0,0.1963019949120357,,23.0,,1.0,1.0,1.0,17.0,7.0,17.0,3.0,3.0,3.0,0.999674383389806,0.9997257997576156,0.9993009374764964,79,Architec® AirDry™ Wine Glass Drying Rack 9x13,"Architec™ AirDry Wine Glass Drying Rack. Hang wine glasses upside down for proper air circulation to dry crystal clear! Holds all sizes. Dry one glass or four, engineered to keep from tipping.",0,2020-05-31 23:00:03.926,architec housewares,,0.0,48,21.0,557,843
32,11684,11684,0.5841,0.0072,,,0.0,,,66.0,-0.0068,-0.0385,4.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.9993997754648716,0.9997276393947074,0.999653239440888,22,Shit is Bananas - C5031,"Newsflash! The world is freaking insane. We know. We're in this crazy life together, after all — but a friendly reminder never hurts. 

3.5” x 5"". Letter-pressed by hand on archival-quality card stock with a lemon drop envelope.",0,2020-05-31 02:49:45.062,all in this together,,0.0,50,43.0,36,1034
33,19136,19136,0.7865,0.1055,,,0.0,,,170.0,1.816,2.0514,67.0,,,,,,0.0,,0.0,0.0,0.4155522836955369,,,,,,,,,,,,,0.9998578738923756,0.9998804526740556,0.99960744603797,35,Twist Collection Bangle and Babe Bracelet Key Ring,"WRIST WORN SILICONE KEYRING

The bangle is designed to hold its shape when in use and also be easily manipulated to fit in small spaces. Made of food-grade silicone, the durable nonporous material is easily wiped clean or sanitized.

Features:
 * Large bangle easily slips onto wrist

* Bangle made of 100% food-grade silicone - safe for the whole family

* Non-porous materials - easily cleaned and sanitized

* Flexible bangle easily fits in your pocket or bag

WARNING: This is not a toy. ",0,2020-05-31 02:15:56.542,bangle and babe,,0.0,48,2.0,523,2
34,25396,25396,0.1669999999999999,0.0306,,,0.0,,,215.0,-0.6983,2.4476,237.0,,,,,,0.0,0.0,0.0,0.0,0.5400900197923826,,,,,,,,,,,,,0.9995868559593644,0.9994273628299056,0.9995364605905936,15,Umbrian Truffle Hand Cream,"Umbrian truffle hand cream is a nourishing hand cream formulated for daily use that provides skin with multi-layer hydration, protects skin from free radicals & improves tone & texture of skin for a deeply moisturized appearance. Ideal for all skin types, Umbrian Truffle Hand Cream is a nourishing hand cream formulated for daily use that provides skin with multilayer hydration, protects skin from free radicals, & improves tone & texture of skin for a deeply moisturized appearance. Size: 30ml.",0,2020-05-31 01:50:52.991,hand cream,,0.0,48,5.0,710,87
35,45115,45115,0.4252,0.0184,,,0.0,,,273.0,-0.186,1.9948,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,28,24K GOLD LIFT & FIRM GEL EYE PATCHES,"What it is: Cooling, de-puffing, eye mask patches packed with Hyaluronic Acid, Collagen, Vitamin C, Vitamin E. 

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Aging Skin, Dark Circles, Puffiness, Fine Lines and Wrinkles, and Redness

- Vitamin E: It helps prevent signs of Aging, it complements your SPF, it keeps skin Hydrated and Calm.
- Hyaluronic Acid: Hydrates Dry, Aged Skin, Helps Reduce Wrinkles, Sores, Sunburn and Wound Repair, Helps Reduce Dry Eyes and Eye Discomfort.",0,2020-05-31 16:19:42.512,collagen,,6.0,24,158.0,314,990
36,45076,45076,0.4263,0.0112,,,0.0,,,355.0,0.8239999999999998,0.0426,81.0,22.0,,,19.0,,0.0,0.0,0.0,0.0,0.1462500109222247,,,,,,,3.0,0.0,2.0,5.0,0.0,5.0,0.9994221405433068,0.9993416584514678,0.9993295788987082,7,BAE Best Aunt Ever Ceramic Mug,Pearhead’s ceramic mug is the perfect gift for any aunt. Includes a large handle for easy holding. “BAE: best aunt ever” printed on the front and back of mug. White mug with black handle. Do not microwave. Recommended hand wash and hand dry. Dimensions: 5.25” W x 4.5” H x 3.75” D; Fits 2 cups or 16 fluid ounces. ,0,2020-05-31 13:30:32.223,pottery mugs,,1.0,24,37.0,35,903
37,4039,4039,0.0671,0.0268,,,0.0,,,115.0,-0.1369,0.295,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,84,SMALL COIN NECKLACE,"The Diamond Dusted Small Coin Necklace combines our two signature collections. Mixing texture and type, the small coin necklace was inspired by the design of ancient coins. Each letter is individually stamped by hand.

Diamond dusted is a texture carefully applied by hand, by striking the metal with the back, pointy side of a diamond. Creating a beautiful, subtly sparkly finish.

small coin - 3/4” diameter
16 & 18"" adjustable chain with s hook closure
Handmade in our Nashville, TN studio",0,2020-05-31 21:10:55.247,coin necklace,,0.0,24,0.0,214,518
38,46428,46428,0.5993,0.0206,,,0.0,,,134.0,-0.1027,-0.5791,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,43,Extra Large Single Honeybee Wrap,"A great way to store celery, kale, spinach, and shallots. Also perfect for large salads and baked bread! The honeybee wrap keeps your food crisp and fresh for longer

1 x Extra Large Bees Wax  Wrap (45x40cm).

Waste-free, plastic-free, reusable, non-toxic, sustainable storage.

**You will received a mixture of the designs as shown on the images**",0,2020-05-31 14:00:45.42,beeswax wrap,,1.0,50,82.0,430,963
39,25321,25321,0.807,0.0191,,,0.0,,,206.0,-0.5236,0.3608,127.0,,,,37.0,,0.0,0.4082482900400046,0.0397470630705356,0.0,0.2935371962606204,,,,,,,1.0,0.0,0.0,,,,0.999496249855994,0.9996857402008732,0.9993309068731132,19,Haute Cocoa Dark Chocolate Body Scrub,"79.5% Organic Haute Cocoa Scrub covers the body in cocoa and feeds the skin. Chocoholics love this scrub. Made by hand, with love. A bestseller in the Winter!

Ingredients: Organic Honey Crystals (Dried Honey, Cane Juice and Molasses), Organic Cane Sugar, Organic Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Stearic Acid,  Theobroma Cacao (Cocoa) Powder, Polysorbate 20, Theobroma Cacao (Cocoa) Butter, Theobroma Cacao (Cocoa) Bean Oil",0,2020-05-31 17:18:48.672,body scrub,,0.0,48,13.0,1,293
